Id,Variable,Valor
45,Food,22
45,Decor,17
45,Service,21
46,Price,44
46,Food,22
46,Decor,17
46,Service,21
47,Price,37
47,Food,20
47,Decor,15
47,Service,20
48,Price,56
48,Food,21
48,Decor,17
48,Service,20
49,Price,58
49,Food,24
49,Decor,18
49,Service,21
50,Price,44
50,Food,16
50,Decor,16
50,Service,16
51,Price,46
51,Food,20
51,Decor,18
51,Service,20
52,Price,40
52,Food,20
52,Decor,20
52,Service,20
53,Price,39
53,Food,19
53,Decor,18
53,Service,17
54,Price,36
54,Food,17
54,Decor,14
54,Service,17
55,Price,34
55,Food,18
55,Decor,15
55,Service,16
56,Price,54
56,Food,18
56,Decor,16
56,Service,15
57,Price,51
57,Food,23
57,Decor,17
57,Service,20
58,Price,41
58,Food,20
58,Decor,14
58,Service,19
59,Price,40
59,Food,22
59,Decor,17
59,Service,20
60,Price,24
60,Food,18
60,Decor,13
60,Service,18
61,Price,53
61,Food,24
61,Decor,20
61,Service,21
62,Price,31
62,Food,19
62,Decor,16
62,Service,17
63,Price,35
63,Food,18
63,Decor,16
63,Service,17
64,Price,49
64,Food,20
64,Decor,19
64,Service,19
65,Price,38
65,Food,19
65,Decor,15
65,Service,17
66,Price,48
66,Food,21
66,Decor,16
66,Service,18
67,Price,43
67,Food,20
67,Decor,19
67,Service,20
68,Price,29
68,Food,17
68,Decor,14
68,Service,15
69,Price,37
69,Food,17
69,Decor,18
69,Service,15
70,Price,55
70,Food,22
70,Decor,21
70,Service,20
71,Price,37
71,Food,22
71,Decor,18
71,Service,20
72,Price,55
72,Food,23
72,Decor,20
72,Service,22
73,Price,49
73,Food,24
73,Decor,20
73,Service,22
74,Price,33
74,Food,19
74,Decor,14
74,Service,18
75,Price,52
75,Food,23
75,Decor,20
75,Service,22
76,Price,47
76,Food,22
76,Decor,16
76,Service,21
77,Price,43
77,Food,21
77,Decor,16
77,Service,20
78,Price,33
78,Food,18
78,Decor,17
78,Service,18
79,Price,38
79,Food,18
79,Decor,16
79,Service,19
80,Price,48
80,Food,21
80,Decor,18
80,Service,19
81,Price,50
81,Food,21
81,Decor,18
81,Service,21
82,Price,46
82,Food,23
82,Decor,19
82,Service,21
83,Price,38
83,Food,23
83,Decor,19
83,Service,24
84,Price,33
84,Food,20
84,Decor,16
84,Service,19
85,Price,46
85,Food,23
85,Decor,19
85,Service,23
86,Price,37
86,Food,19
86,Decor,15
86,Service,19
87,Price,50
87,Food,23
87,Decor,18
87,Service,20
88,Price,54
88,Food,25
88,Decor,24
88,Service,24
89,Price,41
89,Food,21
89,Decor,19
89,Service,21
90,Price,37
90,Food,21
90,Decor,15
90,Service,18
91,Price,50
91,Food,22
91,Decor,18
91,Service,21
92,Price,60
92,Food,24
92,Decor,22
92,Service,23
93,Price,36
93,Food,23
93,Decor,16
93,Service,22
94,Price,54
94,Food,23
94,Decor,19
94,Service,21
95,Price,39
95,Food,19
95,Decor,18
95,Service,18
96,Price,35
96,Food,20
96,Decor,16
96,Service,18
97,Price,30
97,Food,19
97,Decor,13
97,Service,20
98,Price,41
98,Food,19
98,Decor,17
98,Service,19
99,Price,30
99,Food,19
99,Decor,14
99,Service,17
100,Price,25
100,Food,18
100,Decor,15
100,Service,15
101,Price,43
101,Food,19
101,Decor,18
101,Service,21
102,Price,45
102,Food,20
102,Decor,15
102,Service,17
103,Price,57
103,Food,23
103,Decor,16
103,Service,20
104,Price,32
104,Food,18
104,Decor,15
104,Service,17
105,Price,51
105,Food,24
105,Decor,21
105,Service,21
106,Price,48
106,Food,23
106,Decor,20
106,Service,21
107,Price,36
107,Food,18
107,Decor,16
107,Service,16
108,Price,37
108,Food,20
108,Decor,17
108,Service,19
109,Price,31
109,Food,20
109,Decor,19
109,Service,19
110,Price,47
110,Food,23
110,Decor,19
110,Service,21
111,Price,40
111,Food,19
111,Decor,16
111,Service,19
112,Price,37
112,Food,18
112,Decor,16
112,Service,18
113,Price,43
113,Food,23
113,Decor,20
113,Service,21
114,Price,51
114,Food,23
114,Decor,22
114,Service,21
115,Price,19
115,Food,18
115,Decor,9
115,Service,15
116,Price,28
116,Food,17
116,Decor,14
116,Service,17
117,Price,22
117,Food,21
117,Decor,6
117,Service,14
118,Price,41
118,Food,19
118,Decor,17
118,Service,19
119,Price,33
119,Food,19
119,Decor,15
119,Service,18
120,Price,29
120,Food,19
120,Decor,15
120,Service,17
121,Price,33
121,Food,19
121,Decor,17
121,Service,18
122,Price,45
122,Food,19
122,Decor,16
122,Service,18
123,Price,38
123,Food,17
123,Decor,16
123,Service,17
124,Price,52
124,Food,20
124,Decor,23
124,Service,20
125,Price,38
125,Food,20
125,Decor,17
125,Service,19
126,Price,47
126,Food,18
126,Decor,18
126,Service,17
127,Price,46
127,Food,22
127,Decor,18
127,Service,20
128,Price,40
128,Food,20
128,Decor,17
128,Service,18
129,Price,32
129,Food,20
129,Decor,15
129,Service,19
130,Price,65
130,Food,19
130,Decor,23
130,Service,18
131,Price,47
131,Food,19
131,Decor,21
131,Service,17
132,Price,65
132,Food,23
132,Decor,22
132,Service,22
133,Price,45
133,Food,20
133,Decor,17
133,Service,21
134,Price,46
134,Food,22
134,Decor,22
134,Service,20
135,Price,44
135,Food,20
135,Decor,19
135,Service,20
136,Price,40
136,Food,19
136,Decor,19
136,Service,18
137,Price,46
137,Food,19
137,Decor,18
137,Service,20
138,Price,32
138,Food,19
138,Decor,15
138,Service,17
139,Price,23
139,Food,20
139,Decor,14
139,Service,16
140,Price,42
140,Food,18
140,Decor,21
140,Service,17
141,Price,29
141,Food,21
141,Decor,18
141,Service,19
142,Price,49
142,Food,21
142,Decor,18
142,Service,20
143,Price,53
143,Food,22
143,Decor,24
143,Service,21
144,Price,45
144,Food,22
144,Decor,19
144,Service,21
145,Price,63
145,Food,22
145,Decor,25
145,Service,22
146,Price,52
146,Food,23
146,Decor,23
146,Service,21
147,Price,40
147,Food,19
147,Decor,20
147,Service,17
148,Price,45
148,Food,22
148,Decor,21
148,Service,23
149,Price,38
149,Food,21
149,Decor,17
149,Service,20
150,Price,38
150,Food,18
150,Decor,17
150,Service,18
151,Price,42
151,Food,21
151,Decor,16
151,Service,20
152,Price,57
152,Food,23
152,Decor,19
152,Service,23
153,Price,39
153,Food,21
153,Decor,19
153,Service,20
154,Price,43
154,Food,20
154,Decor,18
154,Service,18
155,Price,29
155,Food,17
155,Decor,14
155,Service,16
156,Price,42
156,Food,20
156,Decor,16
156,Service,19
157,Price,50
157,Food,22
157,Decor,19
157,Service,21
158,Price,34
158,Food,18
158,Decor,16
158,Service,17
159,Price,31
159,Food,16
159,Decor,15
159,Service,16
160,Price,31
160,Food,20
160,Decor,17
160,Service,19
161,Price,46
161,Food,21
161,Decor,19
161,Service,22
162,Price,42
162,Food,21
162,Decor,15
162,Service,19
163,Price,31
163,Food,19
163,Decor,16
163,Service,18
164,Price,31
164,Food,17
164,Decor,15
164,Service,16
165,Price,26
165,Food,20
165,Decor,16
165,Service,17
166,Price,31
166,Food,18
166,Decor,16
166,Service,17
167,Price,38
167,Food,22
167,Decor,17
167,Service,21
168,Price,34
168,Food,24
168,Decor,10
168,Service,16
